Ca,Cb,ga,gb,Wca,Wcb
-0.4020258309264984,-0.10344440345351963,0.6966663002960867,0.3719354271885013,-0.2800778482550237,-0.0384746383887445
-0.3501270365599186,-0.0666535042417909,0.6202167868607994,0.44919520616486447,-0.21715466560828636,-0.02994043457950193
0.0026626191017031097,-0.01134577064757706,0.7051770091049772,0.5448228716844832,0.0018776177745247799,-0.006181435345686452
0.15582383577055975,-0.12161354807371577,0.8488606214514826,0.2951462268826394,0.1322727180691511,-0.03589377985176769
0.2637520415230698,-0.7995243639554502,0.6307853460305581,0.46687161922408144,0.1663709227783957,-0.37327523440898486
0.11867675339092837,-0.5680758274030945,0.8831694126120317,0.44587031006768457,0.10481167858296915,-0.2532881453061742
0.0781272594037673,-0.4927086427953683,0.9151701927175906,0.383370071649168,0.0714997390450429,-0.18888974769062467
-0.0416587003925061,-0.19242734788105242,0.763663709162902,0.39760947227438265,-0.031813237660647246,-0.07651093624214429
0.34433313361876544,0.2561765596410297,0.6652234792702698,0.5580537319177769,0.22905848517390986,0.14296028513753356
0.32901255470879676,0.36765452507785323,0.7162916660301675,0.5687611699098621,0.23566895095720566,0.20910761780593456
0.39679370514875134,0.39896999885775386,0.9762902259816897,0.9999999999989999,0.3873858160677864,0.39896999885735485
0.5626364323056017,0.42134279648172823,0.6351193785661068,0.7129881978027842,0.35734130124458513,0.3004124411206927
0.531231847239198,0.4834955689847428,0.7323620915405579,0.6540951728814259,0.38905406673705323,0.31625211778247875
0.553934196152175,0.5358741860691485,0.7286012172691688,0.5523112416261872,0.4035971296034932,0.29596933706327383
0.1857926585636356,0.4760741582576185,0.9999999999989999,0.6631407737725301,0.18579265856344981,0.3157041856800631
0.2726664578421122,0.2758190778908972,0.9573408365240059,0.3865228593345591,0.26103473484260525,0.10661037864541106
-0.5986202600537668,0.3618551287875188,0.7283601760856974,0.6883100271218092,-0.43601115802122753,0.24906851350990283
-0.43664163168922077,0.23656617877492384,0.8893308639517473,0.5244562625879765,-0.38831887954747535,0.12406861397501565
-0.952953220738718,0.11830736245932881,0.46254613995505806,0.4954574406142048,-0.4407848338104344,0.05861626300991611
-0.5115257314022572,0.18698476030958022,0.5137314796442616,0.4512726068492191,-0.26278687086939473,0.08438110022598067
