feature_name,mean_event_before,mean_control_before,smd_before,mean_event_after,mean_control_after,smd_after,match_method
feat_0,-0.044913992285728455,0.026027288287878036,-0.1730301820246405,-0.044913992285728455,-0.12404549866914749,0.2292405470522004,knn
feat_1,0.10606468468904495,-0.24057480692863464,0.3662847150501858,0.10606468468904495,-0.19883430004119873,0.8224230473210641,knn
feat_2,-0.36352860927581787,0.018182961270213127,-0.5690670973342835,-0.36352860927581787,0.17667941749095917,-1.1702763270684864,knn
feat_3,-0.14151105284690857,-0.06304122507572174,-0.14344583522243765,-0.14151105284690857,0.17741362750530243,-1.0971102751736062,knn
feat_4,-0.5494210720062256,0.042785320430994034,-0.7146740571371072,-0.5494210720062256,0.1567387580871582,-1.1780689787180012,knn
feat_5,1.5412509441375732,-0.8092882633209229,1.589331026362026,1.5412509441375732,-0.11402955651283264,1.5281264295022452,knn
feat_6,1.256931185722351,-0.7744632363319397,1.4941154258617517,1.256931185722351,-0.2300906777381897,1.2215897035506702,knn
feat_7,-0.17537279427051544,-0.1554952710866928,-0.04211164159045551,-0.17537279427051544,0.02490708976984024,-0.540644016131519,knn
feat_8,0.21232736110687256,-0.3450431823730469,0.8317434148570172,0.21232736110687256,0.6816067099571228,-1.301211740779871,knn
feat_9,-0.1967792958021164,-0.14712947607040405,-0.06263579592201582,-0.1967792958021164,0.011619426310062408,-0.3846651851467826,knn
feat_10,-0.3450663685798645,-0.1767384111881256,-0.23291464898616812,-0.3450663685798645,0.008551884442567825,-0.6484879401497895,knn
feat_11,-0.6332846879959106,0.08146169036626816,-0.9072454923039787,-0.6332846879959106,-0.1421254575252533,-0.7353517831079299,knn
feat_12,0.22940921783447266,-0.2144191414117813,0.3881826492810823,0.22940921783447266,0.04738369956612587,0.3524467295372335,knn
feat_13,-0.0034998266492038965,-0.003203958971425891,-0.020069631952285904,-0.0034998266492038965,0.005504438187927008,-0.943892598552106,knn
feat_14,-0.12825597822666168,-0.06340342015028,-0.11545150920048111,-0.12825597822666168,0.20192822813987732,-0.9074303618735168,knn
feat_15,-0.0626954436302185,-0.22352130711078644,0.2098475228140342,-0.0626954436302185,-0.7040919661521912,0.8104469742974079,knn
feat_16,0.02586398273706436,-0.059199802577495575,0.3662848428374785,0.02586398273706436,-0.04895685985684395,0.8224232042953769,knn
feat_17,-0.11794480681419373,-0.17934244871139526,0.04714924880220425,-0.11794480681419373,0.17189794778823853,-0.3179954534943242,knn
feat_18,-0.2310154139995575,-0.08333415538072586,-0.17017908568768705,-0.2310154139995575,-0.3724213242530823,0.15262680569296497,knn
feat_19,0.09678086638450623,-0.20287491381168365,0.38092382197625246,0.09678086638450623,-0.1808484047651291,0.3686609681850298,knn
feat_20,-0.4920634329319,-0.024314654991030693,-0.4132996903929308,-0.4920634329319,-0.5270062685012817,0.02979041472949904,knn
feat_21,2.736375331878662,-1.009811520576477,2.0667839617902293,2.736375331878662,-0.6129950881004333,2.8493640231977344,knn
feat_22,2.8818371295928955,-0.7396755218505859,1.7006296388102555,2.8818371295928955,-0.6687763333320618,1.7303325139907355,knn
feat_23,-0.3337552547454834,-0.2880091071128845,-0.06159031358115097,-0.3337552547454834,-0.637037992477417,0.4548304945235382,knn
feat_24,0.3240309953689575,-0.2242313027381897,0.396667954180222,0.3240309953689575,0.8776148557662964,-0.5391164416812959,knn
feat_25,-0.16531667113304138,0.06905927509069443,-0.21201892635332883,-0.16531667113304138,-0.2588803470134735,0.09994094257737711,knn
feat_26,-0.4005619287490845,-0.15021178126335144,-0.22253625735626392,-0.4005619287490845,-0.4129469394683838,0.011691445864129074,knn
feat_27,-1.850609540939331,-0.1840372532606125,-1.3371593797671135,-1.850609540939331,-1.5554851293563843,-0.48665664086471394,knn
feat_28,-0.3263351619243622,-0.4404252767562866,0.0714508572383326,-0.3263351619243622,0.13844911754131317,-0.7378141102551637,knn
feat_29,-0.009690904058516026,-0.003467144910246134,-0.2673593919585822,-0.009690904058516026,0.00301207578741014,-0.8055426763067035,knn
feat_30,-0.3612062335014343,-0.12147805094718933,-0.29695657908049833,-0.3612062335014343,0.05282392352819443,-0.7565699790508197,knn
feat_31,-0.2949868440628052,-0.8072533011436462,0.38759214692290217,-0.2949868440628052,-0.30322203040122986,0.004515463658122042,knn
